Field Name,Segment,Format,Data Type,Length,Starting Position,,Ending Position,Required I/B,Required O/B,Definition," INBOUND VALUES
(Data from Partner to Express Scripts)","OUTBOUND VALUES
(Data from Express Scripts to Partner)",Comments
 Accumulator Network Indicator 5,Request Accumulator,X(1),AN,1,1136,-,1136,Y,Y,,Default to Spaces,Default to Spaces,"IF Accumulator Balance Count   > 4: see definition, values and comments in Accumulator Network Indicator 1"
Accumulator Applied Amount 5,Request Accumulator,9(10),D2,10,1137,-,1146,Y,Y,,Default to Zeros,Default to Zeros,"IF Accumulator Balance Count   > 4: see definition, values and comments in Accumulator Applied Amount 1"
Action Code 5,Request Accumulator,X(1),AN,1,1147,-,1147,Y,Y,,"Default to Spaces or populate with: ‘+’, ‘-‘, 'B'  or 'R' as appropriate","Default to Space. ESI will populate with '+' or ""-"" as appropriate",IF Accumulator Balance Count   > 4
Accumulator Benefit Period Amount 5,Request Accumulator,9(10),D2,10,1148,-,1157,N,N,,Default to Zeros,Default to Zeros,"IF Accumulator Balance Count   > 4: see definition, values and comments in Accumulator Benefit Period 1"
Action Code 5,Request Accumulator,X(1),AN,1,1158,-,1158,N,N,,"Default to Spaces or populate with: ‘+’, ‘-‘, 'B'  or 'R' as appropriate","Default to Space. ESI will populate with '+' or ""-"" as appropriate",IF Accumulator Balance Count   > 4: Required if Accumulator Benefit Period Amount (XXX) is exchanged.
Accumulator Remaining Balance 5,Request Accumulator,9(10),D2,10,1159,-,1168,N,N,,Default to Zeros,Default to Zeros,"IF Accumulator Balance Count   > 4: see definition, values and comments in Accumulator Remaining Balance 1"
Action Code 5,Request Accumulator,X(1),AN,1,1169,-,1169,N,N,,"Default to Spaces or populate with: ‘+’, ‘-‘, 'B'  or 'R' as appropriate","Default to Space. ESI will populate with '+' or ""-"" as appropriate",IF Accumulator Balance Count   > 4
Accumulator Balance Qualifier 6,Request Accumulator,X(2),AN,2,1170,-,1171,Y,Y,,Default to Spaces,Default to Spaces,"IF Accumulator Balance Count   > 5: see definition, values and comments in Accumulator Balance Qualifier 1"
 Accumulator Network Indicator 6,Request Accumulator,X(1),AN,1,1172,-,1172,Y,Y,,Default to Spaces,Default to Spaces,"IF Accumulator Balance Count   > 5: see definition, values and comments in Accumulator Network Indicator 1"
Accumulator Applied Amount 6,Request Accumulator,9(10),D2,10,1173,-,1182,Y,Y,,Default to Zeros,Default to Zeros,"IF Accumulator Balance Count   > 5: see definition, values and comments in Accumulator Applied Amount 1"
Action Code 6,Request Accumulator,X(1),AN,1,1183,-,1183,Y,Y,,"Default to Spaces or populate with: ‘+’, ‘-‘, 'B'  or 'R' as appropriate","Default to Space. ESI will populate with '+' or ""-"" as appropriate",IF Accumulator Balance Count   > 5
Accumulator Benefit Period Amount 6,Request Accumulator,9(10),D2,10,1184,-,1193,N,N,,Default to Zeros,Default to Zeros,"IF Accumulator Balance Count   > 5: see definition, values and comments in Accumulator Benefit Period 1"
Action Code 6,Request Accumulator,X(1),AN,1,1194,-,1194,N,N,,"Default to Spaces or populate with: ‘+’, ‘-‘, 'B'  or 'R' as appropriate","Default to Space. ESI will populate with '+' or ""-"" as appropriate",IF Accumulator Balance Count   > 5: Required if Accumulator Benefit Period Amount (XXX) is exchanged.
Accumulator Remaining Balance 6,Request Accumulator,9(10),D2,10,1195,-,1204,N,N,,Default to Zeros,Default to Zeros,"IF Accumulator Balance Count   > 5: see definition, values and comments in Accumulator Remaining Balance 1"
Action Code 6,Request Accumulator,X(1),AN,1,1205,-,1205,N,N,,"Default to Spaces or populate with: ‘+’, ‘-‘, 'B'  or 'R' as appropriate","Default to Space. ESI will populate with '+' or ""-"" as appropriate",IF Accumulator Balance Count    > 5
Reserved,Request Accumulator,X(24),AN,24,1206,-,1229,N,N,,Spaces,Express Scripts Use Only,"FUTURE USE.  If populated by Express Scripts, Partner should ignore."
Accumulator Balance Qualifier 7,Request Accumulator 7-12 or Response Accumulator for Reconciliation,X(2),AN,2,1230,-,1231,N,N,Identifies to which accumulator the dollars should be applied,Spaces,"00 = Not specified
02 = HRA
04 = Deductible
05 = Out of pocket
06 = Benefit Cap
","Repeating field, occurs up to six (6) times."
Accumulator Network Indicator 7,Request Accumulator 7-12 or Response Accumulator for Reconciliation,X(1),AN,1,1232,-,1232,N,N,Identifies account type from which the amount is drawn and applied by originator,Spaces,Spaces,"Repeating field, occurs up to 6 times.
See comments in Accumulator Balance Count field regarding inbound fields and unused occurrences."
Accumulator Applied Amount 7,Request Accumulator 7-12 or Response Accumulator for Reconciliation,9(10),D2,10,1233,-,1242,N,N,The amount to be applied to or subtracted from the type of benefit account accumulator,Default to Zeros,Zeroes,"Repeating field, occurs up to six (6) times
See comments in Accumulator Balance Count field regarding inbound fields and unused occurrences."
Action Code 7,Request Accumulator 7-12 or Response Accumulator for Reconciliation,X(1),AN,1,1243,-,1243,N,N,Filed indicates whether dollars in the current amount are positive or negative,"Default to Spaces or populate with: ‘+’, ‘-‘, 'B'  or 'R' as appropriate","Default to Space. ESI will populate with '+' or ""-"" as appropriate","Repeating field, occurs up to six (6) times
See comments in Accumulator Balance Count  field regarding inbound fields and unused occurrences."
Accumulator Benefit Period Amount 7,Request Accumulator 7-12 or Response Accumulator for Reconciliation,9(10),D2,10,1244,-,1253,N,N,Total accumulated dollars to date for the type of benefit accumulator,Default to Zeros,"Accumulated total for DED/CAP/OOP
Computed from the accumulated amount for benefit type Express Scripts is attempting to process i.e. HRA would reflect HRA accumulated amt","Repeating field, occurs up to six (6) times. This field was not designed to be used for Reconciliation, and Express Scripts recommends against doing so, due to potential. Inconsistencies."
Action Code 7,Request Accumulator 7-12 or Response Accumulator for Reconciliation,X(1),AN,1,1254,-,1254,N,N,,"Default to Spaces or populate with: ‘+’, ‘-‘, 'B'  or 'R' as appropriate","Default to Space. ESI will populate with '+' or ""-"" as appropriate",IF Accumulator Balance Count   > 6
Accumulator Remaining Balance 7,Request Accumulator 7-12 or Response Accumulator for Reconciliation,9(10),D2,10,1255,-,1264,N,N,The amount remaining to be satisfied or available for the type of benefit accumulator,Default to Zeros,Spaces,"Repeating field, occurs up to six (6) times.  This field was not designed to be used for Reconciliation, and Express Scripts recommends against doing so, due to potential. Inconsistencies.
See comments in Accumulator Balance Count field regarding inbound fields and unused occurrences."
Action Code 7,Request Accumulator 7-12 or Response Accumulator for Reconciliation,X(1),AN,1,1265,-,1265,N,N,,"Default to Spaces or populate with: ‘+’, ‘-‘, 'B'  or 'R' as appropriate","Default to Space. ESI will populate with '+' or ""-"" as appropriate",IF Accumulator Balance Count   > 6
Accumulator Balance Qualifier 8,Request Accumulator 7-12 or Response Accumulator for Reconciliation,X(2),AN,2,1266,-,1267,N,N,,Default to Spaces,Default to Spaces,IF Accumulator Balance Count   > 7
Accumulator Network Indicator 8,Request Accumulator 7-12 or Response Accumulator for Reconciliation,X(1),AN,1,1268,-,1268,N,N,,Default to Spaces,Default to Spaces,IF Accumulator Balance Count   > 7
Accumulator Applied Amount 8,Request Accumulator 7-12 or Response Accumulator for Reconciliation,9(10),D2,10,1269,-,1278,N,N,,Default to Zeros,Default to Zeros,IF Accumulator Balance Count   > 7
Action Code 8,Request Accumulator 7-12 or Response Accumulator for Reconciliation,X(1),AN,1,1279,-,1279,N,N,,"Default to Spaces or populate with: ‘+’, ‘-‘, 'B'  or 'R' as appropriate","Default to Space. ESI will populate with '+' or ""-"" as appropriate",IF Accumulator Balance Count   > 7
Accumulator Benefit Period Amount 8,Request Accumulator 7-12 or Response Accumulator for Reconciliation,9(10),D2,10,1280,-,1289,N,N,,Default to Zeros,Default to Zeros,IF Accumulator Balance Count   > 7
Action Code 8,Request Accumulator 7-12 or Response Accumulator for Reconciliation,X(1),AN,1,1290,-,1290,N,N,,"Default to Spaces or populate with: ‘+’, ‘-‘, 'B'  or 'R' as appropriate","Default to Space. ESI will populate with '+' or ""-"" as appropriate",IF Accumulator Balance Count   > 7
Accumulator Remaining Balance 8,Request Accumulator 7-12 or Response Accumulator for Reconciliation,9(10),D2,10,1291,-,1300,N,N,,Default to Zeros,Default to Zeros,IF Accumulator Balance Count   > 7
Action Code 8,Request Accumulator 7-12 or Response Accumulator for Reconciliation,X(1),AN,1,1301,-,1301,N,N,,"Default to Spaces or populate with: ‘+’, ‘-‘, 'B'  or 'R' as appropriate","Default to Space. ESI will populate with '+' or ""-"" as appropriate",IF Accumulator Balance Count   > 7
Accumulator Balance Qualifier 9,Request Accumulator 7-12 or Response Accumulator for Reconciliation,X(2),AN,2,1302,-,1303,N,N,,Default to Spaces,Default to Spaces,IF Accumulator Balance Count   > 8
Accumulator Network Indicator 9,Request Accumulator 7-12 or Response Accumulator for Reconciliation,X(1),AN,1,1304,-,1304,N,N,,Default to Spaces,Default to Spaces,IF Accumulator Balance Count   > 8
Accumulator Applied Amount 9,Request Accumulator 7-12 or Response Accumulator for Reconciliation,9(10),D2,10,1305,-,1314,N,N,,Default to Zeros,Default to Zeros,IF Accumulator Balance Count   > 8
Action Code 9,Request Accumulator 7-12 or Response Accumulator for Reconciliation,X(1),AN,1,1315,-,1315,N,N,,"Default to Spaces or populate with: ‘+’, ‘-‘, 'B'  or 'R' as appropriate","Default to Space. ESI will populate with '+' or ""-"" as appropriate",IF Accumulator Balance Count   > 8
Accumulator Benefit Period Amount 9,Request Accumulator 7-12 or Response Accumulator for Reconciliation,9(10),D2,10,1316,-,1325,N,N,,Default to Zeros,Default to Zeros,IF Accumulator Balance Count   > 8
Action Code 9,Request Accumulator 7-12 or Response Accumulator for Reconciliation,X(1),AN,1,1326,-,1326,N,N,,"Default to Spaces or populate with: ‘+’, ‘-‘, 'B'  or 'R' as appropriate","Default to Space. ESI will populate with '+' or ""-"" as appropriate",IF Accumulator Balance Count   > 8
Accumulator Remaining Balance 9,Request Accumulator 7-12 or Response Accumulator for Reconciliation,9(10),D2,10,1327,-,1336,N,N,,Default to Zeros,Default to Zeros,IF Accumulator Balance Count   > 8
Action Code 9,Request Accumulator 7-12 or Response Accumulator for Reconciliation,X(1),AN,1,1337,-,1337,N,N,,"Default to Spaces or populate with: ‘+’, ‘-‘, 'B'  or 'R' as appropriate","Default to Space. ESI will populate with '+' or ""-"" as appropriate",IF Accumulator Balance Count   > 8
Accumulator Balance Qualifier 10,Request Accumulator 7-12 or Response Accumulator for Reconciliation,X(2),AN,2,1338,-,1339,N,N,,"Default to Spaces or populate with: ‘+’, ‘-‘, 'B'  or 'R' as appropriate","Default to Space. ESI will populate with '+' or ""-"" as appropriate",IF Accumulator Balance Count   > 9
Accumulator Network Indicator 10,Request Accumulator 7-12 or Response Accumulator for Reconciliation,X(1),AN,1,1340,-,1340,N,N,,Default to Spaces,Default to Spaces,IF Accumulator Balance Count   > 9
Accumulator Applied Amount 10,Request Accumulator 7-12 or Response Accumulator for Reconciliation,9(10),D2,10,1341,-,1350,N,N,,Default to Zeros,Default to Zeros,IF Accumulator Balance Count   > 9
Action Code 10,Request Accumulator 7-12 or Response Accumulator for Reconciliation,X(1),AN,1,1351,-,1351,N,N,,"Default to Spaces or populate with: ‘+’, ‘-‘, 'B'  or 'R' as appropriate","Default to Space. ESI will populate with '+' or ""-"" as appropriate",IF Accumulator Balance Count   > 9
Accumulator Benefit Period Amount 10,Request Accumulator 7-12 or Response Accumulator for Reconciliation,9(10),D2,10,1352,-,1361,N,N,,Default to Zeros,Default to Zeros,IF Accumulator Balance Count   > 9
Action Code 10,Request Accumulator 7-12 or Response Accumulator for Reconciliation,X(1),AN,1,1362,-,1362,N,N,,"Default to Spaces or populate with: ‘+’, ‘-‘, 'B'  or 'R' as appropriate","Default to Space. ESI will populate with '+' or ""-"" as appropriate",IF Accumulator Balance Count   > 9
Accumulator Remaining Balance 10,Request Accumulator 7-12 or Response Accumulator for Reconciliation,9(10),D2,10,1363,-,1372,N,N,,Default to Zeros,Default to Zeros,IF Accumulator Balance Count   > 9
Action Code 10,Request Accumulator 7-12 or Response Accumulator for Reconciliation,X(1),AN,1,1373,-,1373,N,N,,"Default to Spaces or populate with: ‘+’, ‘-‘, 'B'  or 'R' as appropriate","Default to Space. ESI will populate with '+' or ""-"" as appropriate",IF Accumulator Balance Count   > 9
Accumulator Balance Qualifier 11,Request Accumulator 7-12 or Response Accumulator for Reconciliation,X(2),AN,2,1374,-,1375,N,N,,Default to Spaces,Default to Spaces,IF Accumulator Balance Count   > 10
Accumulator Network Indicator 11,Request Accumulator 7-12 or Response Accumulator for Reconciliation,X(1),AN,1,1376,-,1376,N,N,,Default to Spaces,Default to Spaces,IF Accumulator Balance Count   > 10
Accumulator Applied Amount 11,Request Accumulator 7-12 or Response Accumulator for Reconciliation,9(10),D2,10,1377,-,1386,N,N,,Default to Zeros,Default to Zeros,IF Accumulator Balance Count   > 10
Action Code 11,Request Accumulator 7-12 or Response Accumulator for Reconciliation,X(1),AN,1,1387,-,1387,N,N,,"Default to Spaces or populate with: ‘+’, ‘-‘, 'B'  or 'R' as appropriate","Default to Space. ESI will populate with '+' or ""-"" as appropriate",IF Accumulator Balance Count   > 10
Accumulator Benefit Period Amount 11,Request Accumulator 7-12 or Response Accumulator for Reconciliation,9(10),D2,10,1388,-,1397,N,N,,Default to Zeros,Default to Zeros,IF Accumulator Balance Count   > 10
Action Code 11,Request Accumulator 7-12 or Response Accumulator for Reconciliation,X(1),AN,1,1398,-,1398,N,N,,"Default to Spaces or populate with: ‘+’, ‘-‘, 'B'  or 'R' as appropriate","Default to Space. ESI will populate with '+' or ""-"" as appropriate",IF Accumulator Balance Count   > 10
Accumulator Remaining Balance 11,Request Accumulator 7-12 or Response Accumulator for Reconciliation,9(10),D2,10,1399,-,1408,N,N,,Default to Zeros,Default to Zeros,IF Accumulator Balance Count   > 10
Action Code 11,Request Accumulator 7-12 or Response Accumulator for Reconciliation,X(1),AN,1,1409,-,1409,N,N,,"Default to Spaces or populate with: ‘+’, ‘-‘, 'B'  or 'R' as appropriate","Default to Space. ESI will populate with '+' or ""-"" as appropriate",IF Accumulator Balance Count   > 10
Accumulator Balance Qualifier 12,Request Accumulator 7-12 or Response Accumulator for Reconciliation,X(2),AN,2,1410,-,1411,N,N,,Default to Spaces,Default to Spaces,IF Accumulator Balance Count   > 11
Accumulator Network Indicator 12,Request Accumulator 7-12 or Response Accumulator for Reconciliation,X(1),AN,1,1412,-,1412,N,N,,Default to Spaces,Default to Spaces,IF Accumulator Balance Count   > 11
Accumulator Applied Amount 12,Request Accumulator 7-12 or Response Accumulator for Reconciliation,9(10),D2,10,1413,-,1422,N,N,,Default to Zeros,Default to Zeros,IF Accumulator Balance Count   > 11
Action Code 12,Request Accumulator 7-12 or Response Accumulator for Reconciliation,X(1),AN,1,1423,-,1423,N,N,,"Default to Spaces or populate with: ‘+’, ‘-‘, 'B'  or 'R' as appropriate","Default to Space. ESI will populate with '+' or ""-"" as appropriate",IF Accumulator Balance Count   > 11
Accumulator Benefit Period Amount 12,Request Accumulator 7-12 or Response Accumulator for Reconciliation,9(10),D2,10,1424,-,1433,N,N,,Default to Zeros,Default to Zeros,IF Accumulator Balance Count   > 11
Action Code 12,Request Accumulator 7-12 or Response Accumulator for Reconciliation,X(1),AN,1,1434,-,1434,N,N,,"Default to Spaces or populate with: ‘+’, ‘-‘, 'B'  or 'R' as appropriate","Default to Space. ESI will populate with '+' or ""-"" as appropriate",IF Accumulator Balance Count   > 11
Accumulator Remaining Balance 12,Request Accumulator 7-12 or Response Accumulator for Reconciliation,9(10),D2,10,1435,-,1444,N,N,,Default to Zeros,Default to Zeros,IF Accumulator Balance Count   > 11
Action Code 12,Request Accumulator 7-12 or Response Accumulator for Reconciliation,X(1),AN,1,1445,-,1445,N,N,,"Default to Spaces or populate with: ‘+’, ‘-‘, 'B'  or 'R' as appropriate","Default to Space. ESI will populate with '+' or ""-"" as appropriate",IF Accumulator Balance Count   > 11
Optional Data Indicator,Not supported: Optional Information Only,X(1),AN,1,1446,-,1446,N,N,Indicates whether Express Scripts is providing the Optional Information Only segment,Populate with space or N (not sent) ,Governed by trading partner agreement,"Optional Information Only segment applies to outbound transactions only and is not available to all partners; partner may need to sign a confidentiality agreement in order to receive this Segment.  When available, it identifies additional pharmacy claim data.  "
Total Amount Paid,Not supported: Optional Information Only,9(10),D2,10,1447,-,1456,N,N,,Default to Zeros,Total Approved Amount (total cost of the claim),"Note that these amounts should only be used for displaying benefit information, and should not be used for calculating accumulator amounts."
Action Code 1,Not supported: Optional Information Only,X(1),AN,1,1457,-,1457,N,N,,Default to Spaces,Populate with ‘+’ or ‘-‘ as appropriate,Used in Outbound Pharmarcy records only and if Optional Information Section is configured to be provided
Amount of Copay,Not supported: Optional Information Only,9(10),D2,10,1458,-,1467,N,N,,Default to Zeros,Normal copay /  coinsurance,"Note that these amounts should only be used for displaying benefit information, and should not be used for calculating accumulator amounts."
Action Code 2,Not supported: Optional Information Only,X(1),AN,1,1468,-,1468,N,N,,Default to Spaces,Populate with ‘+’ or ‘-‘ as appropriate,Used in Outbound Pharmarcy records only and if Optional Information Section is configured to be provided
Patient Pay Amount,Not supported: Optional Information Only,9(10),D2,10,1469,-,1478,N,N,,Default to Zeros,"Total patient’s 
Responsibility (what the patient paid at the pharmacy) Equals the sum of Copay/Coinsurance, Sales Tax, Deductible, Brand/Generic Difference, and CAP Exceeded","Note that these amounts should only be used for displaying benefit information, and should not be used for calculating accumulator amounts."
Action Code 3,Not supported: Optional Information Only,X(1),AN,1,1479,-,1479,N,N,,Default to Spaces,Populate with ‘+’ or ‘-‘ as appropriate,Used in Outbound Pharmarcy records only and if Optional Information Section is configured to be provided
Amount Attributed to Product Selection/Brand,Not supported: Optional Information Only,9(10),D2,10,1480,-,1489,N,N,,Default to Zeros,"Patient penalty 
Amount  (will not be passed for D.0 claims)","Note that these amounts should only be used for displaying benefit information, and should not be used for calculating accumulator amounts."
Action Code 4,Not supported: Optional Information Only,X(1),AN,1,1490,-,1490,N,N,,Default to Spaces,Populate with ‘+’ or ‘-‘ as appropriate,Used in Outbound Pharmarcy records only and if Optional Information Section is configured to be provided
Amount Attributed to Sales Tax,Not supported: Optional Information Only,9(10),D2,10,1491,-,1500,N,N,,Default to Zeros,Sales Tax,"Note that these amounts should only be used for displaying benefit information, and should not be used for calculating accumulator amounts."
Action Code 5,Not supported: Optional Information Only,X(1),AN,1,1501,-,1501,N,N,,Default to Spaces,Populate with ‘+’ or ‘-‘ as appropriate,Used in Outbound Pharmarcy records only and if Optional Information Section is configured to be provided
Amount Attributed to Processor Fee,Not supported: Optional Information Only,9(10),D2,10,1502,-,1511,N,N,,Default to Zeros,Dispensing Fee,"Note that these amounts should only be used for displaying benefit information, and should not be used for calculating accumulator amounts."
Action Code 6,Not supported: Optional Information Only,X(1),AN,1,1512,-,1512,N,N,,Default to Spaces,Populate with ‘+’ or ‘-‘ as appropriate,Used in Outbound Pharmarcy records only and if Optional Information Section is configured to be provided
Gross Amount Due,Not supported: Optional Information Only,9(10),D2,10,1513,-,1522,N,N,,Default to Zeros,"Charged Amount (pharmacy submitted amount or, for directs, member submitted amount)","Note that these amounts should only be used for displaying benefit information, and should not be used for calculating accumulator amounts."
Action Code 7,Not supported: Optional Information Only,X(1),AN,1,1523,-,1523,N,N,,Default to Spaces,Populate with ‘+’ or ‘-‘ as appropriate,Used in Outbound Pharmarcy records only and if Optional Information Section is configured to be provided
Invoiced Amount,Not supported: Optional Information Only,9(10),D2,10,1524,-,1533,N,N,,Default to Zeros,Net Check Amount (amount billed to client for claim),"Note that these amounts should only be used for displaying benefit information, and should not be used for calculating accumulator amounts."
Action Code 8,Not supported: Optional Information Only,X(1),AN,1,1534,-,1534,N,N,,Default to Spaces,Populate with ‘+’ or ‘-‘ as appropriate,Used in Outbound Pharmarcy records only and if Optional Information Section is configured to be provided
Penalty Amount,Not supported: Optional Information Only,9(10),D2,10,1535,-,1544,N,N,,Default to Zeros,Brand/generic difference,"Note that these amounts should only be used for displaying benefit information, and should not be used for calculating accumulator amounts."
Action Code 9,Not supported: Optional Information Only,X(1),AN,1,1545,-,1545,N,N,,Default to Spaces,Populate with ‘+’ or ‘-‘ as appropriate,Used in Outbound Pharmarcy records only and if Optional Information Section is configured to be provided
Reserved,Not supported: Optional Information Only,X(23),AN,23,1546,-,1568,N,N,,Default to Spaces,Express Scripts Use Only,"Express Scripts Use Only.  If populated by Express Scripts, Partner should ignore."
Product / Service Id Qualifier,Not supported: Optional Information Only,X(2),AN,2,1569,-,1570,N,N,Identifies the type of product or service,Default to Spaces,03 = NDC Code,"Spaces by Default, must be requested and requires a signed Confidentiality Agreement.   Otherwise field will be Spaces."
Product / Service Id,Not supported: Optional Information Only,X(19),AN,19,1571,-,1589,N,N,Identifies the Product or Service,Default to Spaces,Actual NDC,"Spaces by Default, must be requested and requires a signed Confidentiality Agreement.  Otherwise field will be Spaces"
Days Supply,Not supported: Optional Information Only,9(3),N,3,1590,-,1592,N,N,The Days Supply for the drug dispensed ,Default to Zeros,Days Supply of Rx claim processed,
Quantity Dispense,Not supported: Optional Information Only,9(10),D3,10,1593,-,1602,N,N,The metric decimal quantity of the drug dispensed ,Default to Zeros,Quantity of RX dispensed ,
Product / Service Name,Not supported: Optional Information Only,X(30),AN,30,1603,-,1632,N,N,,Default to Spaces,Drug Name,"Spaces by Default, must be requested and requires a signed Confidentiality Agreement..  Otherwise field will be Spaces.  For claims for compounds in version D.0, drug name will be populated with “COMPOUND”."
Brand/Generic Indicator,Not supported: Optional Information Only,X(1),AN,1,1633,-,1633,N,N,Identifies if the drug was a brand or generic,Default to Spaces,"B = Brand
G = Generic
M = Multi-Source
",
Therapeutic Class Code Qualifier,Not supported: Optional Information Only,X(1),AN,1,1634,-,1634,N,N,,Default to Spaces,Default to Spaces,
Therapeutic Class Code – Specific,Not supported: Optional Information Only,X(17),AN,17,1635,-,1651,N,N,Specific classification of drug for users needing a definitive therapeutic classification system.,Default to Spaces,Therapeutic Class Code of drug dispensed,Will not be passed for compound claims in version D.0.
Dispensed As Written (DAW)/Product Selection,Not supported: Optional Information Only,X(1),AN,1,1652,-,1652,N,N,Code indicating whether or not the transcriber’s instructions regarding generic substitution were followed,Default to Spaces,"0 – no product selection indicated
1 – substitution not allowed by prescribe
2 – substitution allowed; patient requested product dispensed
3 – Substitution allowed; pharmacist selected product dispensed.
4- substitution allowed; generic drug not in stock
5- substitution allowed; brand drug dispensed as generic
6- override
7- substitution not allowed; brand drug mandated by law
8- substitution allowed; generic drug not available in marketplace
9 – other
",
Reserved,Not supported: Optional Information Only,X(48),AN,48,1653,-,1700,N,N, ,Spaces,Express Scripts Use Only,"Express Scripts Use Only
If populated by Express Scripts, Partner should ignore."
