id,Affiliated Network,Fertility Clinic Name,Fertility Clinic Location Name,Full Address,City,Subdivision Code,Postal Code,Fertility Clinic Notes,Domain,Self - Pay Discount Rate (%),Point of Contact Email(s),Name
282,CCRM,CCRM,CCRM Northern Virginia - Vienna,"8010 Towers Crescent Drive, 5th Floor ",Vienna,US-VA,22182,"10% discount on self pay services provided by the clinic
",ccrmny.com,10%,newreferrals@ccrmivf.com,
283,CCRM,CCRM,CCRM Northern Virginia - Washington,"2120 L. Street NW, Ste 701 ",Washington,US-DC,Washington,"10% discount on self pay services provided by the clinic
",radfertility.com,10%,newreferrals@ccrmivf.com,
284,CCRM,CCRM,CCRM - Lone Tree,10290 RidgeGate Circle ,Lone Tree,US-CO,80124,"10% discount on self pay services provided by the clinic
",thenewhopecenter.com,10%,newreferrals@ccrmivf.com,
285,CCRM,CCRM,CCRM - Louisville,"80 Health Park Drive, Suite 240 ",Louisville,US-CO,80027,"10% discount on self pay services provided by the clinic
",irms.com ,10%,newreferrals@ccrmivf.com,
286,CCRM,CCRM,CCRM - Louisville,"80 Health Park Drive, Suite 240 ",Louisville,US-CO,80027,"10% discount on self pay services provided by the clinic
",ccrmivf.com,10%,newreferrals@ccrmivf.com,
287,CCRM,CCRM,CCRM - Louisville,"80 Health Park Drive, Suite 240 ",Louisville,US-CO,80027,"10% discount on self pay services provided by the clinic
",thenewhopecenter.com,10%,newreferrals@ccrmivf.com,
288,CCRM,CCRM,CCRM Houston- Houston,"7400 Fannin, Suite 910 ",Houston,US-TX,77054,"10% discount on self pay services provided by the clinic
",houstonivf.net,10%,newreferrals@ccrmivf.com,
289,CCRM,CCRM,CCRM Houston- Houston,"7400 Fannin, Suite 910 ",Houston,US-TX,77054,"10% discount on self pay services provided by the clinic
",ccrmny.com,10%,newreferrals@ccrmivf.com,
290,CCRM,CCRM,CCRM Northern Virginia - Vienna,"8010 Towers Crescent Drive, 5th Floor ",Vienna,US-VA,22182,"10% discount on self pay services provided by the clinic
",thenewhopecenter.com,10%,newreferrals@ccrmivf.com,
291,CCRM,CCRM,CCRM New York - New York City,"810 7th Avenue, 21st Floor ",New York City,US-NY,10019,"10% discount on self pay services provided by the clinic
",radfertility.com,10%,newreferrals@ccrmivf.com,
292,CCRM,CCRM,CCRM NJ / IRMS - Princeton,"8 Forrestal Road, Suite 206 ",Princeton,US-NJ,08540,"10% discount on self pay services provided by the clinic
",newportfertility.com,10%,newreferrals@ccrmivf.com,
293,CCRM,CCRM,CCRM Northern Virginia - Rockville,14995 Shady Grove Road ,Rockville,US-MD,20850,"10% discount on self pay services provided by the clinic
",thenewhopecenter.com,10%,newreferrals@ccrmivf.com,
294,CCRM,CCRM,CCRM NJ / IRMS - Hoboken,"129 Washington Street, 4th Floor ",Hoboken,US-NJ,07030,"10% discount on self pay services provided by the clinic
",ccrmmn.com,10%,newreferrals@ccrmivf.com,
295,CCRM,CCRM,CCRM NJ / IRMS - Princeton,"8 Forrestal Road, Suite 206 ",Princeton,US-NJ,08540,"10% discount on self pay services provided by the clinic
",colocrm.com,10%,newreferrals@ccrmivf.com,
296,CCRM,CCRM,CCRM NJ / IRMS - Clark,"100 Walnut Ave, Suite 104 ",Clark,US-NJ,07066,"10% discount on self pay services provided by the clinic
",ccrmny.com,10%,newreferrals@ccrmivf.com,
297,CCRM,CCRM,CCRM Northern Virginia - Rockville,14995 Shady Grove Road ,Rockville,US-MD,20850,"10% discount on self pay services provided by the clinic
",radfertility.com,10%,newreferrals@ccrmivf.com,
298,CCRM,CCRM,CCRM Northern Virginia - Vienna,"8010 Towers Crescent Drive, 5th Floor ",Vienna,US-VA,22182,"10% discount on self pay services provided by the clinic
",irms.com ,10%,newreferrals@ccrmivf.com,
299,CCRM,CCRM,CCRM San Francisco,"1060 Marsh Road, 1st Floor ",Menlo Park,US-CA,94025,"10% discount on self pay services provided by the clinic
",newportfertility.com,10%,newreferrals@ccrmivf.com,
300,CCRM,CCRM,CCRM NJ / IRMS - Clark,"100 Walnut Ave, Suite 104 ",Clark,US-NJ,07066,"10% discount on self pay services provided by the clinic
",houstonivf.net,10%,newreferrals@ccrmivf.com,
301,CCRM,CCRM,CCRM NJ / IRMS - Princeton,"8 Forrestal Road, Suite 206 ",Princeton,US-NJ,08540,"10% discount on self pay services provided by the clinic
",ccrmivf.com,10%,newreferrals@ccrmivf.com,
302,CCRM,CCRM,CCRM NJ / IRMS - Clark,"100 Walnut Ave, Suite 104 ",Clark,US-NJ,07066,"10% discount on self pay services provided by the clinic
",ccrmmn.com,10%,newreferrals@ccrmivf.com,
303,CCRM,CCRM,CCRM - Louisville,"80 Health Park Drive, Suite 240 ",Louisville,US-CO,80027,"10% discount on self pay services provided by the clinic
",colocrm.com,10%,newreferrals@ccrmivf.com,
304,CCRM,CCRM,CCRM New York - New York City,"810 7th Avenue, 21st Floor ",New York City,US-NY,10019,"10% discount on self pay services provided by the clinic
",houstonivf.net,10%,newreferrals@ccrmivf.com,
305,CCRM,CCRM,CCRM Florida,"19505 Biscayne Blvd, Suite 2230 ",Aventura,US-FL,33180,"10% discount on self pay services provided by the clinic
",colocrm.com,10%,newreferrals@ccrmivf.com,
306,CCRM,CCRM,CCRM NJ / IRMS - Clark,"100 Walnut Ave, Suite 104 ",Clark,US-NJ,07066,"10% discount on self pay services provided by the clinic
",newportfertility.com,10%,newreferrals@ccrmivf.com,
307,CCRM,CCRM,CCRM - Lone Tree,10290 RidgeGate Circle ,Lone Tree,US-CO,80124,"10% discount on self pay services provided by the clinic
",radfertility.com,10%,newreferrals@ccrmivf.com,
308,CCRM,CCRM,CCRM NJ / IRMS - Hoboken,"129 Washington Street, 4th Floor ",Hoboken,US-NJ,07030,"10% discount on self pay services provided by the clinic
",irms.com ,10%,newreferrals@ccrmivf.com,
309,CCRM,CCRM,CCRM Houston- Sugarland,"16545 Southwest Freeway, Ste 200 ",Sugarland,US-TX,77479,"10% discount on self pay services provided by the clinic
",colocrm.com,10%,newreferrals@ccrmivf.com,
310,CCRM,CCRM,CCRM Northern Virginia - Vienna,"8010 Towers Crescent Drive, 5th Floor ",Vienna,US-VA,22182,"10% discount on self pay services provided by the clinic
",ccrmivf.com,10%,newreferrals@ccrmivf.com,
311,CCRM,CCRM,CCRM Northern Virginia - Rockville,14995 Shady Grove Road ,Rockville,US-MD,20850,"10% discount on self pay services provided by the clinic
",acrm.com,10%,newreferrals@ccrmivf.com,
312,CCRM,CCRM,CCRM NJ / IRMS - Clark,"100 Walnut Ave, Suite 104 ",Clark,US-NJ,07066,"10% discount on self pay services provided by the clinic
",radfertility.com,10%,newreferrals@ccrmivf.com,
313,CCRM,CCRM,CCRM NJ / IRMS - Clark,"100 Walnut Ave, Suite 104 ",Clark,US-NJ,07066,"10% discount on self pay services provided by the clinic
",acrm.com,10%,newreferrals@ccrmivf.com,
314,CCRM,CCRM,CCRM Northern Virginia - Rockville,14995 Shady Grove Road ,Rockville,US-MD,20850,"10% discount on self pay services provided by the clinic
",irms.com ,10%,newreferrals@ccrmivf.com,
315,CCRM,CCRM,CCRM Northern Virginia - Rockville,14995 Shady Grove Road ,Rockville,US-MD,20850,"10% discount on self pay services provided by the clinic
",ccrmny.com,10%,newreferrals@ccrmivf.com,
316,CCRM,CCRM,CCRM NJ / IRMS - Princeton,"8 Forrestal Road, Suite 206 ",Princeton,US-NJ,08540,"10% discount on self pay services provided by the clinic
",ccrmny.com,10%,newreferrals@ccrmivf.com,
317,CCRM,CCRM,CCRM San Francisco,"1060 Marsh Road, 1st Floor ",Menlo Park,US-CA,94025,"10% discount on self pay services provided by the clinic
",ccrmmn.com,10%,newreferrals@ccrmivf.com,
318,CCRM,CCRM,CCRM Northern Virginia - Rockville,14995 Shady Grove Road ,Rockville,US-MD,20850,"10% discount on self pay services provided by the clinic
",houstonivf.net,10%,newreferrals@ccrmivf.com,
319,CCRM,CCRM,CCRM Northern Virginia - Rockville,14995 Shady Grove Road ,Rockville,US-MD,20850,"10% discount on self pay services provided by the clinic
",ccrmmn.com,10%,newreferrals@ccrmivf.com,
320,CCRM,CCRM,CCRM Boston,"300 Boylston Street, Suite 300 ",Chestnut Hill,US-MA,02459,"10% discount on self pay services provided by the clinic
",ccrmmn.com,10%,newreferrals@ccrmivf.com,
321,CCRM,CCRM,CCRM San Francisco,"1060 Marsh Road, 1st Floor ",Menlo Park,US-CA,94025,"10% discount on self pay services provided by the clinic
",acrm.com,10%,newreferrals@ccrmivf.com,
322,CCRM,CCRM,CCRM New York - New York City,"810 7th Avenue, 21st Floor ",New York City,US-NY,10019,"10% discount on self pay services provided by the clinic
",colocrm.com,10%,newreferrals@ccrmivf.com,
323,CCRM,CCRM,CCRM New York - New York City,"810 7th Avenue, 21st Floor ",New York City,US-NY,10019,"10% discount on self pay services provided by the clinic
",ccrmivf.com,10%,newreferrals@ccrmivf.com,
324,CCRM,CCRM,CCRM Houston- Sugarland,"16545 Southwest Freeway, Ste 200 ",Sugarland,US-TX,77479,"10% discount on self pay services provided by the clinic
",thenewhopecenter.com,10%,newreferrals@ccrmivf.com,
325,CCRM,CCRM,CCRM - Lone Tree,10290 RidgeGate Circle ,Lone Tree,US-CO,80124,"10% discount on self pay services provided by the clinic
",ccrmny.com,10%,newreferrals@ccrmivf.com,
326,CCRM,CCRM,CCRM Florida,"19505 Biscayne Blvd, Suite 2230 ",Aventura,US-FL,33180,"10% discount on self pay services provided by the clinic
",thenewhopecenter.com,10%,newreferrals@ccrmivf.com,
327,CCRM,CCRM,CCRM NJ / IRMS - Princeton,"8 Forrestal Road, Suite 206 ",Princeton,US-NJ,08540,"10% discount on self pay services provided by the clinic
",radfertility.com,10%,newreferrals@ccrmivf.com,
328,CCRM,CCRM,CCRM NJ / IRMS - Clark,"100 Walnut Ave, Suite 104 ",Clark,US-NJ,07066,"10% discount on self pay services provided by the clinic
",irms.com ,10%,newreferrals@ccrmivf.com,
329,CCRM,CCRM,CCRM NJ / IRMS - Princeton,"8 Forrestal Road, Suite 206 ",Princeton,US-NJ,08540,"10% discount on self pay services provided by the clinic
",houstonivf.net,10%,newreferrals@ccrmivf.com,
330,CCRM,CCRM,CCRM San Francisco,"1060 Marsh Road, 1st Floor ",Menlo Park,US-CA,94025,"10% discount on self pay services provided by the clinic
",irms.com ,10%,newreferrals@ccrmivf.com,
331,CCRM,CCRM,CCRM Boston,"300 Boylston Street, Suite 300 ",Chestnut Hill,US-MA,02459,"10% discount on self pay services provided by the clinic
",radfertility.com,10%,newreferrals@ccrmivf.com,
332,CCRM,CCRM,CCRM New York - New York City,"810 7th Avenue, 21st Floor ",New York City,US-NY,10019,"10% discount on self pay services provided by the clinic
",ccrmny.com,10%,newreferrals@ccrmivf.com,
333,CCRM,CCRM,CCRM NJ / IRMS - Livingston,"94 Old Short Hills Rd, Suite 403E, East Wing ",Livingston,US-NJ,07039,"10% discount on self pay services provided by the clinic
",radfertility.com,10%,newreferrals@ccrmivf.com,
334,CCRM,CCRM,CCRM Houston- Sugarland,"16545 Southwest Freeway, Ste 200 ",Sugarland,US-TX,77479,"10% discount on self pay services provided by the clinic
",ccrmivf.com,10%,newreferrals@ccrmivf.com,
335,CCRM,CCRM,CCRM Houston- Sugarland,"16545 Southwest Freeway, Ste 200 ",Sugarland,US-TX,77479,"10% discount on self pay services provided by the clinic
",houstonivf.net,10%,newreferrals@ccrmivf.com,
336,CCRM,CCRM,CCRM Northern Virginia - Rockville,14995 Shady Grove Road ,Rockville,US-MD,20850,"10% discount on self pay services provided by the clinic
",colocrm.com,10%,newreferrals@ccrmivf.com,
337,CCRM,CCRM,CCRM Northern Virginia - Rockville,14995 Shady Grove Road ,Rockville,US-MD,20850,"10% discount on self pay services provided by the clinic
",ccrmivf.com,10%,newreferrals@ccrmivf.com,
338,CCRM,CCRM,CCRM Northern Virginia - Vienna,"8010 Towers Crescent Drive, 5th Floor ",Vienna,US-VA,22182,"10% discount on self pay services provided by the clinic
",colocrm.com,10%,newreferrals@ccrmivf.com,
339,CCRM,CCRM,CCRM Boston,"300 Boylston Street, Suite 300 ",Chestnut Hill,US-MA,02459,"10% discount on self pay services provided by the clinic
",acrm.com,10%,newreferrals@ccrmivf.com,
340,CCRM,CCRM,CCRM Northern Virginia - Vienna,"8010 Towers Crescent Drive, 5th Floor ",Vienna,US-VA,22182,"10% discount on self pay services provided by the clinic
",newportfertility.com,10%,newreferrals@ccrmivf.com,
341,CCRM,CCRM,CCRM NJ / IRMS - Staten Island,"1441 South Avenue, Suite 201 ",Staten Island,US-NY,10311,"10% discount on self pay services provided by the clinic
",thenewhopecenter.com,10%,newreferrals@ccrmivf.com,
342,CCRM,CCRM,CCRM - Colorado Springs,"6160 Tutt Blvd, Suite 150 ",Colorado Springs,US-CO,80923,"10% discount on self pay services provided by the clinic
",ccrmny.com,10%,newreferrals@ccrmivf.com,
343,CCRM,CCRM,CCRM Florida,"19505 Biscayne Blvd, Suite 2230 ",Aventura,US-FL,33180,"10% discount on self pay services provided by the clinic
",irms.com ,10%,newreferrals@ccrmivf.com,
344,CCRM,CCRM,CCRM San Francisco,"1060 Marsh Road, 1st Floor ",Menlo Park,US-CA,94025,"10% discount on self pay services provided by the clinic
",radfertility.com,10%,newreferrals@ccrmivf.com,
345,CCRM,CCRM,CCRM San Francisco,"1060 Marsh Road, 1st Floor ",Menlo Park,US-CA,94025,"10% discount on self pay services provided by the clinic
",ccrmny.com,10%,newreferrals@ccrmivf.com,
346,CCRM,CCRM,CCRM Northern Virginia - Washington,"2120 L. Street NW, Ste 701 ",Washington,US-DC,Washington,"10% discount on self pay services provided by the clinic
",ccrmny.com,10%,newreferrals@ccrmivf.com,
347,CCRM,CCRM,CCRM Northern Virginia - Vienna,"8010 Towers Crescent Drive, 5th Floor ",Vienna,US-VA,22182,"10% discount on self pay services provided by the clinic
",acrm.com,10%,newreferrals@ccrmivf.com,
348,CCRM,CCRM,CCRM San Francisco,"1060 Marsh Road, 1st Floor ",Menlo Park,US-CA,94025,"10% discount on self pay services provided by the clinic
",houstonivf.net,10%,newreferrals@ccrmivf.com,
349,CCRM,CCRM,CCRM NJ / IRMS - Jersey City,"66 York Street, Suite 301 ",Jersey City,US-NJ,07320,"10% discount on self pay services provided by the clinic
",colocrm.com,10%,newreferrals@ccrmivf.com,
350,CCRM,CCRM,CCRM Boston,"300 Boylston Street, Suite 300 ",Chestnut Hill,US-MA,02459,"10% discount on self pay services provided by the clinic
",houstonivf.net,10%,newreferrals@ccrmivf.com,
351,CCRM,CCRM,CCRM San Francisco,"1060 Marsh Road, 1st Floor ",Menlo Park,US-CA,94025,"10% discount on self pay services provided by the clinic
",thenewhopecenter.com,10%,newreferrals@ccrmivf.com,
352,CCRM,CCRM,CCRM NJ / IRMS - Staten Island,"1441 South Avenue, Suite 201 ",Staten Island,US-NY,10311,"10% discount on self pay services provided by the clinic
",colocrm.com,10%,newreferrals@ccrmivf.com,
353,CCRM,CCRM,CCRM - Denver,"4600 Hale Parkway, Suite 490 ",Denver,US-CO,80220,"10% discount on self pay services provided by the clinic
",thenewhopecenter.com,10%,newreferrals@ccrmivf.com,
354,CCRM,CCRM,CCRM NJ / IRMS - Jersey City,"66 York Street, Suite 301 ",Jersey City,US-NJ,07320,"10% discount on self pay services provided by the clinic
",acrm.com,10%,newreferrals@ccrmivf.com,
355,CCRM,CCRM,CCRM Northern Virginia - Rockville,14995 Shady Grove Road ,Rockville,US-MD,20850,"10% discount on self pay services provided by the clinic
",newportfertility.com,10%,newreferrals@ccrmivf.com,
356,CCRM,CCRM,CCRM Houston- Houston,"929 Gessner Road, Suite 2300 ",Houston,US-TX,77024,"10% discount on self pay services provided by the clinic
",newportfertility.com,10%,newreferrals@ccrmivf.com,
358,CCRM,CCRM,CCRM Houston- The Woodlands,"1001 Medical Plaza Drive, Ste 290 ",The Woodlands,US-TX,77380,"10% discount on self pay services provided by the clinic
",newportfertility.com,10%,newreferrals@ccrmivf.com,
359,CCRM,CCRM,CCRM San Francisco,"1060 Marsh Road, 1st Floor ",Menlo Park,US-CA,94025,"10% discount on self pay services provided by the clinic
",ccrmivf.com,10%,newreferrals@ccrmivf.com,
360,CCRM,CCRM,CCRM Minneapolis,"6565 France Avenue South, Suite 400 ",Edina,US-MN,55435,"10% discount on self pay services provided by the clinic
",ccrmny.com,10%,newreferrals@ccrmivf.com,
361,CCRM,CCRM,CCRM Boston,"300 Boylston Street, Suite 300 ",Chestnut Hill,US-MA,02459,"10% discount on self pay services provided by the clinic
",ccrmny.com,10%,newreferrals@ccrmivf.com,
362,CCRM,CCRM,CCRM NJ / IRMS - Livingston,"94 Old Short Hills Rd, Suite 403E, East Wing ",Livingston,US-NJ,07039,"10% discount on self pay services provided by the clinic
",houstonivf.net,10%,newreferrals@ccrmivf.com,
363,CCRM,CCRM,CCRM Boston,"300 Boylston Street, Suite 300 ",Chestnut Hill,US-MA,02459,"10% discount on self pay services provided by the clinic
",newportfertility.com,10%,newreferrals@ccrmivf.com,
364,CCRM,CCRM,CCRM Dallas Fort Worth,"8380 Warren Parkway, Suite 201 ",Dallas,US-TX,75034,"10% discount on self pay services provided by the clinic
",ccrmny.com,10%,newreferrals@ccrmivf.com,
365,CCRM,CCRM,CCRM NJ / IRMS - Old Bridge,"2 Hospital Plaza, Suite 330 ",Old Bridge,US-NJ,08857,"10% discount on self pay services provided by the clinic
",newportfertility.com,10%,newreferrals@ccrmivf.com,
366,CCRM,CCRM,CCRM NJ / IRMS - Jersey City,"66 York Street, Suite 301 ",Jersey City,US-NJ,07320,"10% discount on self pay services provided by the clinic
",ccrmny.com,10%,newreferrals@ccrmivf.com,
368,CCRM,CCRM,CCRM NJ / IRMS - Old Bridge,"2 Hospital Plaza, Suite 330 ",Old Bridge,US-NJ,08857,"10% discount on self pay services provided by the clinic
",ccrmny.com,10%,newreferrals@ccrmivf.com,
369,CCRM,CCRM,CCRM Boston,"300 Boylston Street, Suite 300 ",Chestnut Hill,US-MA,02459,"10% discount on self pay services provided by the clinic
",irms.com ,10%,newreferrals@ccrmivf.com,
370,CCRM,CCRM,CCRM Florida,"19505 Biscayne Blvd, Suite 2230 ",Aventura,US-FL,33180,"10% discount on self pay services provided by the clinic
",radfertility.com,10%,newreferrals@ccrmivf.com,
371,CCRM,CCRM,CCRM Dallas Fort Worth,"8380 Warren Parkway, Suite 201 ",Dallas,US-TX,75034,"10% discount on self pay services provided by the clinic
",acrm.com,10%,newreferrals@ccrmivf.com,
372,CCRM,CCRM,CCRM NJ / IRMS - Jersey City,"66 York Street, Suite 301 ",Jersey City,US-NJ,07320,"10% discount on self pay services provided by the clinic
",ccrmivf.com,10%,newreferrals@ccrmivf.com,
373,CCRM,CCRM,Atlanta Center for Reproductive Medicine / CCRM,"1800 Howell Mill Road, Suite 675 ",Atlanta,US-GA,30318,"10% discount on self pay services provided by the clinic
",newportfertility.com,10%,newreferrals@ccrmivf.com,
374,CCRM,CCRM,CCRM NJ / IRMS - Staten Island,"1441 South Avenue, Suite 201 ",Staten Island,US-NY,10311,"10% discount on self pay services provided by the clinic
",houstonivf.net,10%,newreferrals@ccrmivf.com,
375,CCRM,CCRM,Atlanta Center for Reproductive Medicine / CCRM,"5909 Peachtree Dunwoody Rd, Suite 600 ",Atlanta,US-GA,30328,"10% discount on self pay services provided by the clinic
",houstonivf.net,10%,newreferrals@ccrmivf.com,
376,CCRM,CCRM,CCRM NJ / IRMS - Staten Island,"1441 South Avenue, Suite 201 ",Staten Island,US-NY,10311,"10% discount on self pay services provided by the clinic
",irms.com ,10%,newreferrals@ccrmivf.com,
377,CCRM,CCRM,CCRM - Lone Tree,10290 RidgeGate Circle ,Lone Tree,US-CO,80124,"10% discount on self pay services provided by the clinic
",ccrmivf.com,10%,newreferrals@ccrmivf.com,
378,CCRM,CCRM,CCRM NJ / IRMS - Staten Island,"1441 South Avenue, Suite 201 ",Staten Island,US-NY,10311,"10% discount on self pay services provided by the clinic
",ccrmivf.com,10%,newreferrals@ccrmivf.com,
379,CCRM,CCRM,CCRM Northern Virginia - Washington,"2120 L. Street NW, Ste 701 ",Washington,US-DC,Washington,"10% discount on self pay services provided by the clinic
",acrm.com,10%,newreferrals@ccrmivf.com,
380,CCRM,CCRM,CCRM - Denver,"4600 Hale Parkway, Suite 490 ",Denver,US-CO,80220,"10% discount on self pay services provided by the clinic
",newportfertility.com,10%,newreferrals@ccrmivf.com,
381,CCRM,CCRM,CCRM Houston- Houston,"7400 Fannin, Suite 910 ",Houston,US-TX,77054,"10% discount on self pay services provided by the clinic
",colocrm.com,10%,newreferrals@ccrmivf.com,
383,CCRM,CCRM,CCRM Minneapolis,"6565 France Avenue South, Suite 400 ",Edina,US-MN,55435,"10% discount on self pay services provided by the clinic
",ccrmmn.com,10%,newreferrals@ccrmivf.com,
384,CCRM,CCRM,CCRM Houston- Houston,"929 Gessner Road, Suite 2300 ",Houston,US-TX,77024,"10% discount on self pay services provided by the clinic
",acrm.com,10%,newreferrals@ccrmivf.com,
385,CCRM,CCRM,CCRM - Lone Tree,10290 RidgeGate Circle ,Lone Tree,US-CO,80124,"10% discount on self pay services provided by the clinic
",acrm.com,10%,newreferrals@ccrmivf.com,
386,CCRM,CCRM,Atlanta Center for Reproductive Medicine / CCRM,"711 Canton Road, Suite 410 ",Marietta,US-GA,30060,"10% discount on self pay services provided by the clinic
",irms.com ,10%,newreferrals@ccrmivf.com,
387,CCRM,CCRM,CCRM Florida,"19505 Biscayne Blvd, Suite 2230 ",Aventura,US-FL,33180,"10% discount on self pay services provided by the clinic
",ccrmivf.com,10%,newreferrals@ccrmivf.com,
388,CCRM,CCRM,CCRM NJ / IRMS - Teaneck,"400 Frank W Burr Boulevard, Glenpointe, Suite 145 ",Teaneck,US-NJ,07666,"10% discount on self pay services provided by the clinic
",ccrmmn.com,10%,newreferrals@ccrmivf.com,
389,CCRM,CCRM,CCRM Florida,"19505 Biscayne Blvd, Suite 2230 ",Aventura,US-FL,33180,"10% discount on self pay services provided by the clinic
",ccrmmn.com,10%,newreferrals@ccrmivf.com,
391,CCRM,CCRM,CCRM Houston- Houston,"7400 Fannin, Suite 910 ",Houston,US-TX,77054,"10% discount on self pay services provided by the clinic
",newportfertility.com,10%,newreferrals@ccrmivf.com,
393,CCRM,CCRM,CCRM Northern Virginia - Vienna,"8010 Towers Crescent Drive, 5th Floor ",Vienna,US-VA,22182,"10% discount on self pay services provided by the clinic
",houstonivf.net,10%,newreferrals@ccrmivf.com,
394,CCRM,CCRM,CCRM Dallas Fort Worth,"8380 Warren Parkway, Suite 201 ",Dallas,US-TX,75034,"10% discount on self pay services provided by the clinic
",colocrm.com,10%,newreferrals@ccrmivf.com,
395,CCRM,CCRM,CCRM Dallas Fort Worth,"8380 Warren Parkway, Suite 201 ",Dallas,US-TX,75034,"10% discount on self pay services provided by the clinic
",irms.com ,10%,newreferrals@ccrmivf.com,
396,CCRM,CCRM,Atlanta Center for Reproductive Medicine / CCRM,"711 Canton Road, Suite 410 ",Marietta,US-GA,30060,"10% discount on self pay services provided by the clinic
",ccrmny.com,10%,newreferrals@ccrmivf.com,
397,CCRM,CCRM,CCRM NJ / IRMS - Jersey City,"66 York Street, Suite 301 ",Jersey City,US-NJ,07320,"10% discount on self pay services provided by the clinic
",thenewhopecenter.com,10%,newreferrals@ccrmivf.com,
398,CCRM,CCRM,Atlanta Center for Reproductive Medicine / CCRM,"5909 Peachtree Dunwoody Rd, Suite 600 ",Atlanta,US-GA,30328,"10% discount on self pay services provided by the clinic
",newportfertility.com,10%,newreferrals@ccrmivf.com,
399,CCRM,CCRM,CCRM Houston- Sugarland,"16545 Southwest Freeway, Ste 200 ",Sugarland,US-TX,77479,"10% discount on self pay services provided by the clinic
",ccrmmn.com,10%,newreferrals@ccrmivf.com,
401,CCRM,CCRM,CCRM NJ / IRMS - Livingston,"94 Old Short Hills Rd, Suite 403E, East Wing ",Livingston,US-NJ,07039,"10% discount on self pay services provided by the clinic
",newportfertility.com,10%,newreferrals@ccrmivf.com,
402,CCRM,CCRM,CCRM Houston- The Woodlands,"1001 Medical Plaza Drive, Ste 290 ",The Woodlands,US-TX,77380,"10% discount on self pay services provided by the clinic
",ccrmmn.com,10%,newreferrals@ccrmivf.com,
403,CCRM,CCRM,CCRM NJ / IRMS - Teaneck,"400 Frank W Burr Boulevard, Glenpointe, Suite 145 ",Teaneck,US-NJ,07666,"10% discount on self pay services provided by the clinic
",acrm.com,10%,newreferrals@ccrmivf.com,
404,CCRM,CCRM,CCRM Newport Beach,"3501 Jamboree Road, Suite 1100 ",Newport Beach,US-CA,92660,"10% discount on self pay services provided by the clinic
",acrm.com,10%,newreferrals@ccrmivf.com,
407,CCRM,CCRM,CCRM Houston- Houston,"7400 Fannin, Suite 910 ",Houston,US-TX,77054,"10% discount on self pay services provided by the clinic
",thenewhopecenter.com,10%,newreferrals@ccrmivf.com,
408,CCRM,CCRM,CCRM Northern Virginia - Washington,"2120 L. Street NW, Ste 701 ",Washington,US-DC,Washington,"10% discount on self pay services provided by the clinic
",thenewhopecenter.com,10%,newreferrals@ccrmivf.com,
409,CCRM,CCRM,CCRM - Colorado Springs,"6160 Tutt Blvd, Suite 150 ",Colorado Springs,US-CO,80923,"10% discount on self pay services provided by the clinic
",irms.com ,10%,newreferrals@ccrmivf.com,
410,CCRM,CCRM,CCRM - Colorado Springs,"6160 Tutt Blvd, Suite 150 ",Colorado Springs,US-CO,80923,"10% discount on self pay services provided by the clinic
",newportfertility.com,10%,newreferrals@ccrmivf.com,
411,CCRM,CCRM,CCRM NJ / IRMS - Hoboken,"129 Washington Street, 4th Floor ",Hoboken,US-NJ,07030,"10% discount on self pay services provided by the clinic
",colocrm.com,10%,newreferrals@ccrmivf.com,
412,CCRM,CCRM,CCRM Northern Virginia - Washington,"2120 L. Street NW, Ste 701 ",Washington,US-DC,Washington,"10% discount on self pay services provided by the clinic
",ccrmmn.com,10%,newreferrals@ccrmivf.com,
413,CCRM,CCRM,CCRM NJ / IRMS - Old Bridge,"2 Hospital Plaza, Suite 330 ",Old Bridge,US-NJ,08857,"10% discount on self pay services provided by the clinic
",houstonivf.net,10%,newreferrals@ccrmivf.com,
414,CCRM,CCRM,CCRM NJ / IRMS - Teaneck,"400 Frank W Burr Boulevard, Glenpointe, Suite 145 ",Teaneck,US-NJ,07666,"10% discount on self pay services provided by the clinic
",radfertility.com,10%,newreferrals@ccrmivf.com,
415,CCRM,CCRM,CCRM San Francisco,"1060 Marsh Road, 1st Floor ",Menlo Park,US-CA,94025,"10% discount on self pay services provided by the clinic
",colocrm.com,10%,newreferrals@ccrmivf.com,
416,CCRM,CCRM,CCRM NJ / IRMS - Jersey City,"66 York Street, Suite 301 ",Jersey City,US-NJ,07320,"10% discount on self pay services provided by the clinic
",newportfertility.com,10%,newreferrals@ccrmivf.com,
417,CCRM,CCRM,CCRM NJ / IRMS - Old Bridge,"2 Hospital Plaza, Suite 330 ",Old Bridge,US-NJ,08857,"10% discount on self pay services provided by the clinic
",ccrmmn.com,10%,newreferrals@ccrmivf.com,
418,CCRM,CCRM,Atlanta Center for Reproductive Medicine / CCRM,"5909 Peachtree Dunwoody Rd, Suite 600 ",Atlanta,US-GA,30328,"10% discount on self pay services provided by the clinic
",ccrmmn.com,10%,newreferrals@ccrmivf.com,
419,CCRM,CCRM,CCRM Houston- Houston,"929 Gessner Road, Suite 2300 ",Houston,US-TX,77024,"10% discount on self pay services provided by the clinic
",ccrmivf.com,10%,newreferrals@ccrmivf.com,
420,CCRM,CCRM,CCRM Houston- Houston,"929 Gessner Road, Suite 2300 ",Houston,US-TX,77024,"10% discount on self pay services provided by the clinic
",ccrmmn.com,10%,newreferrals@ccrmivf.com,
